ลำดับ,โครงการ,กลุ่มกิจการ,ประเภทโครงการ,กระทรวงเจ้าสังกัด,หน่วยงานเจ้าของโครงการ,เอกชนคู่สัญญา,ระยะเวลาโครงการ,วันที่ลงนามในสัญญา,วันที่,มูลค่าโครงการ,รูปแบบการจัดสรรกรรมสิทธิ์,รูปแบบสัมปทานหรือค่าตอบแทน,กฎหมายที่เกี่ยวข้อง,แหล่งข้อมูล
OC4IDS Elements/Objects,Project / Project Title,,,Party,Party / Role = AdministrativeEntity,Party / Role = Public Authority,,,,,,,,
5,โครงการบริหารและประกอบการท่าเทียบเรือตู้สินค้า บี 4 ณ ท่าเรือแหลมฉบัง,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท ที ไอ พี เอส จำกัด,27 ปี,1 มกราคม 2537,1 มกราคม 2537,N/A,,,,https://ppp.sepo.go.th/content/170
6,โครงการบริหารและประกอบการท่าเทียบเรือตู้สินค้า บี 3 ณ ท่าเรือแหลมฉบัง,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท อีสเทิร์นซี แหลมฉบัง เทอร์มินัล จำกัด,26 ปี,1 มกราคม 2538,1 มกราคม 2538,N/A,,,,https://ppp.sepo.go.th/content/169
12,โครงการรถไฟฟ้าสายสีน้ำเงิน,(2) รถไฟ รถไฟฟ้า การขนส่งทางราง,รถไฟฟ้า,กระทรวงคมนาคม,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จํากัด (คู่สัญญาตอนลงนามในสัญญาบริษัท BMCL จํากัด),"25 ปี
30 ปี ","1 สิงหาคม 2543
31 มีนาคม 2560",1 สิงหาคม 2543,"โครงการรถไฟฟ้าสายสีนำเงิน ช่วงหัวลำโพง – บางซื่อ 80,410 ล้านบาท
โครงการรถไฟฟ้าสายสีนำเงิน (ส่วนต่อขยาย) ช่วงหัวลำโพง - บางแค และช่วง
บางซื่อ - ท่าพระ 82,369.17 ล้านบาท","BOT (เว็บไซต์ สคร.)
BTO (หนังสือ สนข.)",PPP Net Cost,"• พระราชบัญญัติว่าด้วยการให้เอกชนเข้าร่วมงานหรือดำเนินการในกิจการของรัฐ พ.ศ. 2535
• พระราชบัญญัติการให้เอกชนร่วมลงทุนในกิจการของรัฐ พ.ศ. 2556
• พระราชบัญญัติการรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย พ.ศ. 2543","https://ppp.sepo.go.th/content/163
หนังสือสรุปผู้บริหาร สนข."
15,โครงการครัวการบิน (Catering Services) ณ ท่าอากาศยานสุวรรณภูมิ (รายบริษัท ครัวการบินกรุงเทพ จำกัด),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),บริษัท ครัวการบินกรุงเทพ จำกัด ,20 ปี,10 มีนาคม 2547,10 มีนาคม 2547,N/A,BTO,,,https://ppp.sepo.go.th/content/158
16,โครงการครัวการบิน (Catering Services) ณ ท่าอากาศยานสุวรรณภูมิ (รายบริษัท แอล เอส จี สกายเซฟส์ จำกัด),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),บริษัท แอล เอส จี สกายเซฟส์ จำกัด,20 ปี,10 มีนาคม 2547,10 มีนาคม 2547,N/A,BTO,,,https://ppp.sepo.go.th/content/157
17,โครงการระบบให้บริการเชื้อเพลิงอากาศยาน (Into - plane services) ณ ท่าอากาศยานสุวรรณภูมิ (บริษัท เอเอสไอจี (ไทยแลนด์) จำกัด),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),บริษัท เอเอสไอจี (ไทยแลนด์) จำกัด ,20 ปี,10 มีนาคม 2547,10 มีนาคม 2547,N/A,BTO,,,https://ppp.sepo.go.th/content/156
18,โครงการระบบให้บริการเชื้อเพลิงอากาศยาน (Into - plane services) ณ ท่าอากาศยานสุวรรณภูมิ (รายบริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน)),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน) ,20 ปี,10 มีนาคม 2547,10 มีนาคม 2547,N/A,BTO,,,https://ppp.sepo.go.th/content/155
20,โครงการอุปกรณ์บริการภาคพื้นและสิ่งอำนวยความสะดวกด้านการซ่อมบำรุง ณ ท่าอากาศยานสุวรรณภูมิ (รายบริษัท การบินไทย จำกัด (มหาชน),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),"บริษัท การบินไทย จำกัด (มหาชน)
WFS-PG Ramp Joint Venture",34 ปี,10 มีนาคม 2551,10 มีนาคม 2551,N/A,BTO,,,"https://ppp.sepo.go.th/content/154
หนังสือสรุปผู้บริหาร สนข."
21,โครงการครัวการบิน (Catering Services) ณ ท่าอากาศยานสุวรรณภูมิ (รายบริษัท การบินไทย จำกัด),(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),บริษัท การบินไทย จำกัด (มหาชน),34 ปี,10 มีนาคม 2551,10 มีนาคม 2551,N/A,BTO,,,https://ppp.sepo.go.th/content/153
9,โครงการสัญญาลงทุนก่อสร้าง บริหาร และประกอบการท่าเทียบเรือสินค้า บี 5 ณ ท่าเรือแหลมฉบัง,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท แหลมฉบัง อินเตอร์เนชั่นแนล เทอร์มินอล จำกัด (LCIT),30 ปี,11 เมษายน 2539,11 เมษายน 2539,N/A,BOT,,,https://ppp.sepo.go.th/content/166
10,โครงการสัญญาลงทุนก่อสร้าง บริหาร และประกอบการท่าเทียบเรือสินค้ากอง เอ 5 ณ ท่าเรือแหลมฉบัง,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท นามยง เทอร์มินัล จำกัด,30 ปี,11 เมษายน 2539,11 เมษายน 2539,N/A,,,,https://ppp.sepo.go.th/content/165
